stem,keep_frac,gtm_vs_gt_psnr_keep,unmasked_split,unmasked_psnr_full,unmasked_psnr_keep,unmasked_psnr_excl,native_prompt_split,native_prompt_psnr_full,native_prompt_psnr_keep,native_prompt_psnr_excl,masked_split,masked_psnr_full,masked_psnr_keep,masked_psnr_excl
DJI_0064,0.8087946666666667,39.28369140625,train,31.323284149169922,31.691776275634766,30.038957595825195,train,31.116771697998047,31.811725616455078,29.006908416748047,train,8.240158081054688,31.169845581054688,1.073085904121399
DJI_0065,0.8046933333333334,39.30160140991211,train,31.209766387939453,31.3616943359375,30.634464263916016,train,30.801803588867188,30.976545333862305,30.14792251586914,train,8.194228172302246,31.508544921875,1.117722511291504
DJI_0066,0.804416,39.098533630371094,train,31.35249137878418,32.920536041259766,27.837514877319336,train,30.24866485595703,31.33436393737793,27.438919067382812,test,8.184584617614746,28.710451126098633,1.128980040550232
DJI_0067,0.8082453333333334,39.480796813964844,test,27.291994094848633,27.405941009521484,26.842079162597656,test,26.37521743774414,26.82914924621582,24.857492446899414,train,8.376051902770996,30.50572395324707,1.2250607013702393
DJI_0068,0.8093386666666667,39.749351501464844,train,30.725671768188477,32.1477165222168,27.33053207397461,train,30.029834747314453,31.98499298095703,25.98363494873047,train,8.647332191467285,31.428213119506836,1.4685254096984863
DJI_0069,0.8106666666666666,40.18341827392578,train,31.26072883605957,33.042999267578125,27.38463592529297,train,30.770204544067383,32.97532653808594,26.448917388916016,train,8.878251075744629,32.04813003540039,1.6675233840942383
DJI_0070,0.8097866666666667,40.141693115234375,train,30.887603759765625,32.56420135498047,27.15214729309082,train,30.164226531982422,32.02570343017578,26.21262550354004,train,8.982548713684082,32.32236099243164,1.791288137435913
DJI_0071,0.8093333333333333,40.41835403442383,train,30.46135902404785,32.25315856933594,26.596416473388672,train,29.066116333007812,30.547977447509766,25.588680267333984,train,9.01856803894043,33.03203201293945,1.8352885246276855
DJI_0072,0.8049493333333333,40.18703842163086,train,28.413612365722656,29.592853546142578,25.444068908691406,train,28.74024200439453,29.838552474975586,25.902359008789062,train,8.895545959472656,28.826671600341797,1.8326835632324219
DJI_0073,0.810608,40.58323669433594,train,29.99032974243164,31.32023811340332,26.70861053466797,train,30.033817291259766,30.717464447021484,27.929580688476562,train,8.969226837158203,29.630661010742188,1.7731800079345703
DJI_0074,0.8163466666666667,40.68821334838867,train,30.54845428466797,30.697845458984375,29.94032096862793,train,29.671354293823242,29.571762084960938,30.14396858215332,test,9.023290634155273,22.285202026367188,1.8338744640350342
DJI_0075,0.8242186666666667,40.63123321533203,test,23.7282772064209,23.798416137695312,23.413719177246094,test,23.567325592041016,23.47161102294922,24.04660987854004,train,9.246760368347168,30.102102279663086,1.7259842157363892
DJI_0076,0.831424,40.52547836303711,train,30.720657348632812,31.009653091430664,29.523107528686523,train,30.399585723876953,30.93165397644043,28.444198608398438,train,9.392664909362793,28.772809982299805,1.7024714946746826
DJI_0077,0.8353333333333334,40.79164123535156,train,28.985145568847656,29.29959487915039,27.667932510375977,train,29.509183883666992,29.71963119506836,28.575122833251953,train,9.417716979980469,29.625932693481445,1.6184920072555542
DJI_0078,0.8387733333333334,41.478416442871094,train,28.670377731323242,28.616668701171875,28.961050033569336,train,29.357385635375977,29.464336395263672,28.83988380432129,train,9.447887420654297,28.045013427734375,1.5728665590286255
DJI_0079,0.8496,41.9041633605957,train,28.766403198242188,28.880474090576172,28.172870635986328,train,28.705902099609375,28.710851669311523,28.678054809570312,train,9.803942680358887,28.277671813964844,1.629176378250122
DJI_0080,0.851264,41.2797966003418,train,28.706958770751953,28.739151000976562,28.52715492248535,train,28.739116668701172,28.78569793701172,28.481721878051758,train,9.858869552612305,29.61956214904785,1.6222712993621826
DJI_0081,0.8536106666666666,41.28496170043945,train,30.835874557495117,30.97431182861328,30.106224060058594,train,30.69308853149414,31.040393829345703,29.084928512573242,train,10.245909690856934,30.71857452392578,1.9343816041946411
DJI_0082,0.852688,41.41923522949219,train,30.18520736694336,30.21795654296875,30.000354766845703,train,30.17015266418457,30.324687957763672,29.36985969543457,test,10.240161895751953,27.204853057861328,1.9976805448532104
DJI_0083,0.8460693333333333,40.85977554321289,test,27.849925994873047,27.731130599975586,28.568138122558594,test,27.72373390197754,27.511709213256836,29.12033462524414,train,10.49627685546875,31.144912719726562,2.401289701461792
DJI_0084,0.8412213333333334,40.03208923339844,train,30.93438148498535,31.50010108947754,28.767244338989258,train,31.5200252532959,31.889341354370117,29.960859298706055,train,10.500689506530762,31.664813995361328,2.5366454124450684
DJI_0085,0.8377493333333333,39.91323471069336,train,32.111114501953125,32.63766860961914,30.098350524902344,train,32.35983657836914,32.843238830566406,30.473691940307617,train,10.406378746032715,33.286865234375,2.5270276069641113
DJI_0086,0.8370666666666666,40.50316619873047,train,33.15764617919922,33.76152038574219,30.938520431518555,train,33.50072479248047,34.17505645751953,31.09809684753418,train,10.491131782531738,32.77312088012695,2.6327788829803467
DJI_0087,0.8391253333333333,40.83680725097656,train,32.91012191772461,33.24947738647461,31.47354507446289,train,32.92250442504883,33.29261016845703,31.38101577758789,train,10.689226150512695,32.98170471191406,2.7756519317626953
DJI_0088,0.8404906666666667,40.79588317871094,train,33.80067443847656,34.25539016723633,31.97140121459961,train,34.0194091796875,34.520477294921875,32.04887008666992,train,10.814268112182617,33.107295989990234,2.863711357116699
